Item_Number,Set_Name,Theme,Pieces,Price,Amazon_Price,Year,Ages,Pages,Minifigures,Packaging,Weight,Unique_Pieces,Availability,Size
41427,Emma's Fashion Shop,Friends,343,$29.99 ,$29.95 ,2020,Ages_6+,112,2,Box,NA,152,Retail,Small
41428,Beach House,Friends,444,$49.99 ,$49.95 ,2020,Ages_6+,160,2,Box,NA,216,Retail,Small
60170,Off-Road Chase,City,37,$6.99 ,$30.89 ,2018,Ages_5-12,20,2,Box,NA,28,Retail,Small
60171,Mountain Fugitives,City,88,$9.99 ,$16.49 ,2018,Ages_5-12,36,4,Box,NA,61,Retail,Small
60172,Dirt Road Pursuit,City,297,$39.99 ,$64.75 ,2018,Ages_5-12,116,3,Box,0.6Kg (1.32 lb),140,Retail,Small
60182,Pickup & Caravan,City,344,$29.99 ,$65.99 ,2018,Ages_5-12,140,3,Box,0.65Kg (1.43 lb),188,Retail,Small
60183,Heavy Cargo Transport,City,310,$29.99 ,$69.95 ,2018,Ages_5-12,128,2,Box,0.59Kg (1.3 lb),161,Retail,Small
60184,Mining Team,City,82,$9.99 ,$21.99 ,2018,Ages_5-12,32,4,Box,0.13Kg (0.29 lb),64,Retail,Small
60202,People Pack - Outdoor Adventures,City,164,$39.99 ,$69.99 ,2018,Ages_5-12,64,15,Box,0.29Kg (0.64 lb),128,Retail,Small
60208,Parachute Arrest,City,218,$39.99 ,$31.46 ,2019,Ages_5+,120,4,Box,0.48Kg (1.05 lb),139,Retail,Small
60213,Dock Side Fire,City,97,$19.99 ,$23.83 ,2019,Ages_5+,48,2,Box,0.25Kg (0.54 lb),63,Retail,Small
60215,Fire Station,City,509,$69.99 ,$56.00 ,2019,Ages_5+,184,4,Box,1.17Kg (2.57 lb),210,Retail,Small
60217,Fire Plane,City,363,$59.99 ,$53.99 ,2019,Ages_6+,156,3,Box,0.76Kg (1.68 lb),151,Retail - limited,Small
60219,Construction Loader,City,88,$9.99 ,$8.99 ,2019,Ages_5+,36,1,Box,0.16Kg (0.34 lb),50,Retail,Small
60221,Diving Yacht,City,148,$19.99 ,$16.00 ,2019,Ages_5+,64,2,Box,0.34Kg (0.74 lb),81,Retail,Small
60223,Harvester Transport,City,358,$29.99 ,$54.80 ,2019,Ages_5+,148,3,Box,0.65Kg (1.43 lb),166,Retail,Small
60226,Mars Research Shuttle,City,273,$39.99 ,$31.99 ,2019,Ages_5+,160,2,Box,0.61Kg (1.34 lb),135,Retail,Small
60243,Police Helicopter Chase,City,212,$39.99 ,$35.98 ,2020,Ages_5+,128,4,Box,0.52Kg (1.16 lb),127,Retail,Small
60245,Police Monster Truck Heist,City,362,$59.99 ,$52.74 ,2020,Ages_5+,200,5,Box,0.85Kg (1.87 lb),198,Retail,Small
60246,Police Station,City,743,$99.99 ,$99.99 ,2020,Ages_6+,345,7,Box,1.85Kg (4.06 lb),298,Retail,Small
60248,Fire Helicopter Response,City,93,$29.99 ,$23.98 ,2020,Ages_5+,44,3,Box,0.25Kg (0.55 lb),61,Retail,Small
60249,Street Sweeper,City,89,$9.99 ,$8.99 ,2020,Ages_5+,48,1,Box,0.14Kg (0.31 lb),55,Retail,Small
60251,Monster Truck,City,55,$9.99 ,$8.99 ,2020,Ages_5+,32,1,Box,0.14Kg (0.31 lb),34,Retail,Small
60252,Construction Bulldozer,City,126,$19.99 ,$15.99 ,2020,Ages_4+,84,2,Box,0.35Kg (0.78 lb),81,Retail,Small
60258,Tuning Workshop,City,897,$99.99 ,$99.99 ,2020,Ages_6+,389,7,Box,1.63Kg (3.58 lb),411,Retail,Small
60266,Ocean Exploration Ship,City,745,$149.99 ,$149.99 ,2020,Ages_7+,229,8,Box,2.28Kg (5.03 lb),314,Retail,Small
60267,Safari Off-Roader,City,168,$19.99 ,$17.99 ,2020,Ages_5+,76,2,Box,0.34Kg (0.76 lb),86,Retail,Small
